 num     #instances         #bytes  class name (module)
 337:            19            912  javax.management.openmbean.ArrayType (java.management@17.0.5)
 338:            37            904  [Ljavax.management.MBeanParameterInfo; (java.management@17.0.5)
 339:             9            896  [D (java.base@17.0.5)
 340:            28            896  com.fasterxml.jackson.databind.DeserializationFeature
 341:            37            888  java.lang.management.ManagementPermission (java.management@17.0.5)
 342:            55            880  jdk.internal.reflect.BootstrapConstructorAccessorImpl (java.base@17.0.5)
 343:            22            880  org.springframework.core.log.CompositeLog
 344:            27            864  com.sun.beans.util.Cache$CacheEntry (java.desktop@17.0.5)
 345:            36            864  java.time.Duration (java.base@17.0.5)
 346:            54            864  java.util.LinkedHashMap$LinkedEntrySet (java.base@17.0.5)
 347:            35            840  java.lang.invoke.Invokers (java.base@17.0.5)
 348:            26            832  com.fasterxml.jackson.databind.SerializationFeature
 349:            26            832  java.util.Locale (java.base@17.0.5)
 350:            13            832  org.jcp.xml.dsig.internal.dom.XMLDSigRI$ProviderService (java.xml.crypto@17.0.5)
 351:            26            832  org.springframework.web.util.pattern.SeparatorPathElement
 352:            34            816  java.security.BasicPermissionCollection (java.base@17.0.5)
 353:            51            816  java.util.WeakHashMap$KeySet (java.base@17.0.5)
 354:            17            816  org.springframework.web.util.pattern.PathPattern
 355:            25            800  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference (java.management@17.0.5)
 356:            20            800  java.io.ObjectStreamClass$FieldReflectorKey (java.base@17.0.5)
 357:            33            792  org.springframework.core.annotation.AnnotationTypeMappings
 358:             9            784  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@17.0.5)
 359:            14            784  javax.management.openmbean.OpenMBeanParameterInfoSupport (java.management@17.0.5)
 360:            14            784  org.springframework.web.servlet.mvc.method.RequestMappingInfo
 361:            16            768  com.fasterxml.jackson.databind.type.SimpleType
 362:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping (java.management@17.0.5)
 363:            12            768  java.nio.DirectByteBuffer (java.base@17.0.5)
 364:            12            768  java.text.DateFormatSymbols (java.base@17.0.5)
 365:            12            768  java.text.SimpleDateFormat (java.base@17.0.5)
 366:            32            768  java.util.regex.Pattern$GroupHead (java.base@17.0.5)
 367:            32            768  java.util.regex.Pattern$GroupTail (java.base@17.0.5)
 368:            12            768  org.springframework.web.method.HandlerMethod
 369:            31            752  [Lio.micrometer.core.instrument.Tag;
 370:            31            744  io.micrometer.core.instrument.Tags
 371:            23            736  sun.management.MappedMXBeanType$BasicMXBeanType (java.management@17.0.5)
